form	lemma	POS	morph
༄༅། །		PUNCT
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
ཐུར་མ་	ཐུར་མ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
ཞབས་	ཞབས་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
དྲུག་	དྲུག་	NUM
རང་གྲོལ་	རང་གྲོལ་	NOUN
"།
༄༅། །"		PUNCT
ན་མོ་	ན་མོ་	X
གུ་རུ་	གུ་རུ་	PROPN
མཉྫུ་		NON_WORD
གྷོཥ་		NON_WORD
ཡ་	ཡ་	NOUN
། །		PUNCT
མཐའ་བྲལ་	མཐའ་བྲལ་	NOUN
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ཡངས་པ་	ཡངས་པ་	ADJ
ན་	ནས་	PART
། །		PUNCT
སྐྱབས་མགོན་	སྐྱབས་མགོན་	PROPN
རྒྱལ་དབང་	རྒྱལ་དབང་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
ཤ་	ཤ་	VERB
། །		PUNCT
རི་	རི་	NOUN
མེད་	མེད་	VERB
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
འོད་སྟོང་	འོད་སྟོང་	OTHER
འགྱེད་པ་	འགྱེད་པ་	VERB
འི་	གི་	PART
མོད་	མོད་	VERB
། །		PUNCT
གསར་རྙིང་	གསར་རྙིང་	OTHER
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
པད་ཚལ་	པད་ཚལ་	OTHER
བཞད་པ་	བཞད་པ་	PROPN
མཚའ་	མཚའ་	VERB
། །		PUNCT
ཆོས་དབྱིངས་	ཆོས་དབྱིངས་	NOUN
མཁའ་	མཁའ་	NOUN
ལྟ་	ལྟ་	OTHER
ཡངས་པ་	ཡངས་པ་	ADJ
འི་	གི་	PART
ཀློང་ཆེན་པོ་	ཀློང་ཆེན་པོ་	PROPN
ར་	ལ་	PART
། །		PUNCT
ཉིན་མཚན་	ཉིན་མཚན་	ADV
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
རབ་ཏུ་	རབ་ཏུ་	NO_POS
འབྱམས་	འབྱམས་	NO_POS
ཀླས་པ་	ཀླས་པ་	NO_POS
འི་	གི་	PART
། །		PUNCT
ཀློང་ཆེན་	ཀློང་ཆེན་	PROPN
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
བཟང་པོ་	བཟང་པོ་	ADJ
འི་	གི་	PART
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
མཛོད་	མཛོད་	NOUN
། །		PUNCT
མཐོང་བ་	མཐོང་བ་	VERB
ས་	གིས་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
མཁའ་	མཁའ་	NOUN
དང་	དང་	NO_POS
མཉམ་པ་	མཉམ་པ་	VERB
བྱུང་	བྱུང་	VERB
། །		PUNCT
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ས་	གིས་	PART
ཤེས་བྱ་	ཤེས་བྱ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
རྣམས་	རྣམས་	DET
སལ་	སལ་	NO_POS
ལེ་	ལེ་	NO_POS
ར་	ལ་	PART
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
བརྩེ་བ་	བརྩེ་བ་	VERB
ས་	གིས་	PART
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	PART
སྩོལ་	སྩོལ་	VERB
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
། །		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
རང་བྱུང་	རང་བྱུང་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གསུང་འབུམ་	གསུང་འབུམ་	NOUN
ལ་	ལ་	PART
། །		PUNCT
བལྟས་་	བལྟས་པ་	VERB
ས་	གིས་	PART
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
ལྟ་བ་	ལྟ་བ་	VERB
འི་	གི་	PART
གནད་འགག་	གནད་འགག་	OTHER
ས་	གིས་	PART
རིག་	རིག་	VERB
།		PUNCT
ཇི་ལྟ་	ཇི་ལྟ་	ADJ
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
གཟུགས་བརྙན་	གཟུགས་བརྙན་	NOUN
རྣམས་	རྣམས་	DET
། །		PUNCT
མཁྱེན་པ་	མཁྱེན་པ་	VERB
འི་	གི་	PART
མེ་ལོང་	མེ་ལོང་	NOUN
གཙང་མ་	གཙང་མ་	ADJ
འི་	གི་	PART
ངོ་	ངོ་	NOUN
ཡངས་པོ་	ཡངས་པོ་	OTHER
ར་	ལ་	PART
། །		PUNCT
ཡོངས་	ཡོངས་	DET
ཤ་	ཤ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
གྱིས་	གིས་	PART
། །		PUNCT
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
བདེན་པ་	བདེན་པ་	VERB
མངོན་སུམ་	མངོན་སུམ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
བྱུང་	བྱུང་	VERB
། །		PUNCT
དེ་ཕྱིར་	དེ་ཕྱིར་	NO_POS
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
གསེར་	གསེར་	NOUN
གྱི་	གི་	PART
ཐུར་མ་	ཐུར་མ་	NOUN
ཡི་	གིས་	PART
། །		PUNCT
མི་	མི་	PART
ཤེས་རབ་	ཤེས་རབ་	NOUN
རིབ་	རིབ་	NO_POS
བསལ་	བསལ་	VERB
ན་	ནས་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྤྱན་	སྤྱན་	NOUN
། །		PUNCT
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
ཕྱེ་	ཕྱེ་	VERB
ན་	ནས་	PART
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
ཞལ་	ཞལ་	NOUN
། །		PUNCT
མངོན་སུམ་	མངོན་སུམ་	NOUN
སྟོན་པ་	སྟོན་པ་	NOUN
ས་	གིས་	PART
ཀུན་	ཀུན་	DET
གྱིས་	གིས་	PART
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
ལྟོ་	ལྟོ་	VERB
། །		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཕྱག་	ཕྱག་	NOUN
ན་	ལ་	PART
པད་དཀར་	པད་དཀར་	OTHER
འཆང་བ་	འཆང་བ་	VERB
ངུར་སྨྲིག་	ངུར་སྨྲིག་	NOUN
ག་	ག་	NOUN
གྱིས་	གིས་	PART
རྣམ་	རྣམ་	NOUN
རོལ་	རོལ་	VERB
		
རྒྱལ་དབང་	རྒྱལ་དབང་	NOUN
ལྔ་པ་	ལྔ་པ་	NUM
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
ལུས་	ལུས་	NOUN
རྣམ་སྣང་	རྣམ་སྣང་	PROPN
གི་	གི་	PART
ཆོ་	ཆོ་	NOUN
བདུན་	བདུན་	NUM
བཅའ་	བཅའ་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
མིག་	མིག་	NOUN
ཅུང་ཟད་	ཅུང་ཟད་	ADV
ཐུར་	ཐུར་	NOUN
དུ་	ལ་	PART
བལྟས་་	བལྟས་པ་	VERB
ས་	གིས་	PART
སེམས་	སེམས་	NOUN
དྭངས་	དྭངས་	NO_POS
ལ་	ལ་	PART
མི་	མི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
འཆར་	འཆར་	NO_POS
།		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ངང་	ངང་	NOUN
ན་	ནས་	PART
མིག་	མིག་	NOUN
དྲང་ཐད་	དྲང་ཐད་	NO_POS
དུ་	ལ་	PART
ཧ་	ཧ་	VERB
རེ་	རེ་	DET
ར་	ལ་	PART
གཏད་པ་	གཏད་པ་	VERB
ས་	གིས་	PART
སྔ་	སྔ་	NOUN
གྱི་	གི་	PART
མི་	མི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
འི་	གི་	PART
དྭངས་	དྭངས་	NO_POS
དེ་	སྟེ་	PART
ཞིག་	ཅིག་	PART
ཀྱང་	ཀྱང་	PART
བྱུང་	བྱུང་	VERB
ཚོ་	ཚོ་	VERB
གྱི་	གི་	PART
རྟོག་པ་	རྟོག་པ་	VERB
དང་	དང་	NO_POS
དྲན་འཛིན་	དྲན་འཛིན་	NO_POS
གྱི་	གི་	PART
གཉེན་པོ་	གཉེན་པོ་	NOUN
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཤེས་པ་	ཤེས་པ་	VERB
རང་	རང་	PRON
གསལ་	གསལ་	VERB
རྒྱ་ཡན་	རྒྱ་ཡན་	NO_POS
གཞི་	གཞི་	NOUN
ཕྱལ་	ཕྱལ་	NO_POS
ཡས་པ་	ཡས་པ་	VERB
ཞིག་	ཅིག་	PART
འཆར་	འཆར་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
རིག་པ་	རིག་པ་	VERB
རང་གནས་	རང་གནས་	NOUN
ཀྱི་	གི་	PART
བསམ་གཏན་	བསམ་གཏན་	NOUN
དུ་	ལ་	PART
ངོ་	གོ་	PART
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
ངོས་ཟིན་	ངོས་ཟིན་	NO_POS
ན་	ནས་	PART
ཕྱི་	ཕྱི་	VERB
ཤེས་པ་	ཤེས་པ་	VERB
འཕྲོ་	འཕྲོ་	NOUN
གནས་	གནས་	NOUN
དགག་སྒྲུབ་	དགག་སྒྲུབ་	OTHER
